fecha,sku,producto,canal,precio_venta,unidades_vendidas,ventas_mxn,descuento_pct,inversion_marketing,distribucion_pct,precio_competidor,festivo
02/01/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.1,434,17402.32,0,3305.42,0.799,38.96,0
09/01/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.04,479,19179.6,0,1960.22,0.781,42.87,0
16/01/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.02,436,17449.21,0,1955.53,0.794,42.14,0
23/01/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.28,452,18207.06,0,2089.3,0.778,43.62,0
30/01/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.86,492,19612.56,0,2874.08,0.797,42.03,0
06/02/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.69,481,19569.64,0,1989.67,0.772,43.19,0
13/02/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.96,475,18982.68,0,3087.94,0.765,42.6,0
20/02/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.79,479,19057.99,0,2764.02,0.79,42.59,0
27/02/23,LUM-CHO-100,Chocolate Clasico,Supermercado,30.16,871,26271.92,0.25,,0.804,,0
06/03/23,LUM-CHO-100,Chocolate Clasico,Supermercado,29.85,835,24921.97,0.25,4550.63,0.826,42.74,0
13/03/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.89,468,18669.85,0,3133.42,0.805,42.6,0
20/03/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.85,429,17096.53,0,1643.24,0.786,39.87,0
27/03/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.16,491,19718.11,0,2279.56,0.809,41.99,0
03/04/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.9,420,16758.42,0,2327.71,0.776,40.96,0
10/04/23,LUM-CHO-100,Chocolate Clasico,Supermercado,30.12,914,27526.82,0.25,5534.9,0.806,42.7,0
17/04/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.86,409,16304.6,0,1514.67,0.753,39.61,0
24/04/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.13,494,19823.2,0,3574.42,0.787,41.23,0
01/05/23,LUM-CHO-100,Chocolate Clasico,Supermercado,31.76,700,22232.7,0.2,4945.73,0.773,42.46,0
08/05/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.14,510,20470.9,0,1515.46,0.783,41.85,1
15/05/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.07,583,23363.41,0,2420.48,0.839,40.24,1
22/05/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.07,452,18111.82,0,2867.65,0.821,43.73,0
29/05/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.8,458,18226.24,0,1567.49,0.791,42.27,0
05/06/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.53,584,23085.14,0,3228.59,0.81,43.87,0
12/06/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.13,431,17297.16,0,2800.78,0.75,40.6,0
19/06/23,LUM-CHO-100,Chocolate Clasico,Supermercado,33.83,645,21822.61,0.15,5081.02,0.808,39.95,0
26/06/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.84,516,20559.7,0,3925.95,0.812,41.62,0
03/07/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.84,424,16892.26,0,2056.08,0.782,44.4,0
10/07/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.27,471,18966.38,0,2888.71,0.83,41.66,0
17/07/23,LUM-CHO-100,Chocolate Clasico,Supermercado,29.84,866,25843.91,0.25,4280.8,0.797,39.6,0
24/07/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.51,449,18186.88,0,2814.37,0.806,43.98,0
31/07/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.87,420,16744.77,0,3751.82,0.821,41.72,0
07/08/23,LUM-CHO-100,Chocolate Clasico,Supermercado,35.61,543,19334.04,0.1,4912.61,0.807,43.17,0
14/08/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.71,434,17235.74,0,2596.16,0.802,41.08,0
21/08/23,LUM-CHO-100,Chocolate Clasico,Supermercado,30.34,759,23026.39,0.25,3662.37,0.829,42,0
28/08/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.61,421,16675.8,0,3286.93,0.806,39.36,0
04/09/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.85,425,16934.15,0,3003.59,0.84,43.3,0
11/09/23,LUM-CHO-100,Chocolate Clasico,Supermercado,31.82,711,22625.33,0.2,4386.71,0.82,41.49,0
18/09/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.81,374,15261.29,0,2384.46,0.796,40.35,0
25/09/23,LUM-CHO-100,Chocolate Clasico,Supermercado,32.08,670,21494.13,0.2,4709.39,0.8,38.69,0
02/10/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.66,434,17212.45,0,2202.92,0.874,40.03,0
09/10/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.44,488,19245.51,0,1634.43,0.873,39.5,0
16/10/23,LUM-CHO-100,Chocolate Clasico,Supermercado,34.79,630,21917.81,0.15,6496.52,0.83,41.15,0
23/10/23,LUM-CHO-100,Chocolate Clasico,Supermercado,32.2,698,22474.9,0.2,5099.63,0.813,39.92,0
30/10/23,LUM-CHO-100,Chocolate Clasico,Supermercado,29.94,869,26014.44,0.25,5959.54,0.835,41.73,0
06/11/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.02,484,19368.23,0,2837.37,0.806,41.48,0
13/11/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.5,496,20089.72,0,1765.69,0.806,43.81,1
20/11/23,LUM-CHO-100,Chocolate Clasico,Supermercado,36.14,702,25369.07,0.1,5540.82,0.849,40.2,1
27/11/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.08,456,18278.48,0,2522.38,0.82,41.33,0
04/12/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.47,518,20963.91,0,2732.38,0.822,42.51,1
11/12/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.44,559,22045.76,0,1449.6,0.872,42.21,1
18/12/23,LUM-CHO-100,Chocolate Clasico,Supermercado,39.98,622,24867.79,0,3575.03,0.822,42.39,1
25/12/23,LUM-CHO-100,Chocolate Clasico,Supermercado,40.38,578,23337.77,0,2929.24,0.875,43.16,1
01/01/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.82,471,19698.28,0,1716.27,0.857,44.64,0
08/01/24,LUM-CHO-100,Chocolate Clasico,Supermercado,33.75,748,25247.49,0.2,4020.97,0.851,43.78,0
15/01/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.63,484,20147.32,0,2075.8,0.85,41.81,0
22/01/24,LUM-CHO-100,Chocolate Clasico,Supermercado,33.11,722,23908.7,0.2,6066.48,0.843,43.93,0
29/01/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.9,475,19903.35,0,3812.16,0.846,40.55,0
05/02/24,LUM-CHO-100,Chocolate Clasico,Supermercado,33.6,883,29667.1,0.2,5834.94,0.846,42.84,0
12/02/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.16,476,20066.87,0,2802.76,0.844,42.57,0
19/02/24,LUM-CHO-100,Chocolate Clasico,Supermercado,37.57,720,27053.35,0.1,4406.1,0.864,43.24,0
26/02/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.55,531,22063.76,0,3233.29,0.845,43.23,0
26/02/24,LUM-CHO-100,Chocolate Clasico,Supermercado,41.55,531,22063.76,0,3233.29,0.845,43.23,0
04/03/24,LUM-CHO-100,Chocolate Clasico,Supermercado,42.09,433,18223.46,0,4345.74,0.855,43.47,0
